ShortName,Name,Missing,Total,Perc_Missing,ExtraName,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP
SEEDGWAS5007,SEEDGWAS5007,6012871,6023160,0.998291760471248,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007737,NA,Landrace,Unknown,Unknown,18.9,-97.96666667,2189,NA,NA,NA,NA
SEEDGWAS5010,SEEDGWAS5010,6014101,6023160,0.998495972213921,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007759,NA,Landrace,Unknown,Unknown,19.2,-101.7,1839,NA,NA,NA,NA
SEEDGWAS561,SEEDGWAS561,6011118,6023160,0.998000717231486,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-025246,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
SEEDGWAS882,SEEDGWAS882,6006412,6023160,0.997219399783502,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007799,NA,Landrace,Unknown,Unknown,-22.612407,-47.210516,600,NA,NA,NA,NA
NA,12S048601.SW,1504300,1505790,0.999010486189973,NA,Swarts_etal_2017,PI_485116:Chihuahua,N.Mexico Unknown,Landrace,Unknown,Unknown,chihuahua,chihuahua,NA,NA,NA,NA,NA
NA,13S003206.SW,1504411,1505790,0.999084201648304,NA,Swarts_etal_2017,ZM02-177:Navajo_Red_Corn,US - Athabaskan,Landrace,Unknown,Unknown,36.4734,-108.4114,1491,NA,NA,NA,NA
NA,13S011801.SW,1505597,1505790,0.999871828076956,NA,Swarts_etal_2017,ZM15-027:Tarahumara_Bofo,N. Mexico High,Landrace,Unknown,Unknown,27.35,-107.5,2190,NA,NA,NA,NA
NA,13S018406.SW,1502420,1505790,0.997761972120947,NA,Swarts_etal_2017,ZM16-002:Mountain_Pima_Bola,N. Mexico Mid,Landrace,Unknown,Unknown,28.41762,-108.3627,1400,NA,NA,NA,NA
NA,BLANK.1.SW,1505787,1505790,0.999998007690315,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.10.SW,1505715,1505790,0.999950192257885,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.11.SW,1502923,1505790,0.998096016044734,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.2.SW,1505772,1505790,0.999988046141892,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.3.SW,1503118,1505790,0.998225516174234,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
