Simp_Name,Name,Missing,Total,Perc_Missing,Extra_Name,OG_Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP
SEEDGWAS561.RN,SEEDGWAS561.RN,6011076,6023160,0.99799374414759,1.RN,SEEDGWAS561.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-025246,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
SEEDGWAS882.RN,SEEDGWAS882.RN,6006435,6023160,0.997223218377065,1.RN,SEEDGWAS882.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007799,NA,Landrace,Unknown,Unknown,-22.612407,-47.210516,600,NA,NA,NA,NA
NA,12S048601.SW,1504372,1505790,0.999058301622404,NA,NA,Swarts_etal_2017,PI_485116:Chihuahua,N.Mexico Unknown,Landrace,Unknown,Unknown,chihuahua,chihuahua,NA,NA,NA,NA,NA
NA,13S003206.SW,1504414,1505790,0.999086193957989,NA,NA,Swarts_etal_2017,ZM02-177:Navajo_Red_Corn,US - Athabaskan,Landrace,Unknown,Unknown,36.4734,-108.4114,1491,NA,NA,NA,NA
NA,13S011801.SW,1505638,1505790,0.999899056309313,NA,NA,Swarts_etal_2017,ZM15-027:Tarahumara_Bofo,N. Mexico High,Landrace,Unknown,Unknown,27.35,-107.5,2190,NA,NA,NA,NA
NA,13S018406.SW,1502381,1505790,0.997736072095046,NA,NA,Swarts_etal_2017,ZM16-002:Mountain_Pima_Bola,N. Mexico Mid,Landrace,Unknown,Unknown,28.41762,-108.3627,1400,NA,NA,NA,NA
NA,BLANK.1.SW,1505789,1505790,0.999999335896772,NA,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.10.SW,1505725,1505790,0.999956833290167,NA,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.11.SW,1502690,1505790,0.997941279992562,NA,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.2.SW,1505762,1505790,0.99998140510961,NA,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
