ShortName,Name,Missing,Total,Perc_Missing,ExtraName,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP
NA,12S024901.SW,1427330,1505790,0.947894460714974,NA,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,navajo,navajo,1829,NA,NA,NA,NA
NA,12S025401.SW,1409368,1505790,0.935965838529941,NA,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
NA,12S025501.SW,1402317,1505790,0.931283246667862,NA,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
NA,12S025601.SW,1423533,1505790,0.945372860757476,NA,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
NA,12S025701.SW,1412701,1505790,0.938179294589551,NA,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
NA,12S025901.SW,1429614,1505790,0.949411272488196,NA,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
NA,12S026301.SW,1424341,1505790,0.945909456165866,NA,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
NA,12S026401.SW,1439981,1505790,0.956296030655005,NA,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
NA,12S026701.SW,1422726,1505790,0.944836929452314,NA,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
NA,12S027001.SW,1445306,1505790,0.959832380345201,NA,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
NA,12S027201.SW,1436686,1505790,0.954107810518067,NA,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA
NA,12S027901.SW,1438146,1505790,0.955077401231247,NA,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA
NA,12S028501.SW,1437843,1505790,0.954876177953101,NA,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA
NA,12S028601.SW,1452985,1505790,0.964932029034593,NA,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA
NA,12S028801.SW,1419332,1505790,0.942582963095784,NA,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA
NA,12S029001.SW,1447676,1505790,0.961406304996049,NA,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA
NA,12S029101.SW,1438634,1505790,0.955401483606612,NA,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.111741,-111.220699,1456,NA,NA,NA,NA
NA,12S029201.SW,1440390,1505790,0.956567648875341,NA,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.111741,-111.220699,1456,NA,NA,NA,NA
NA,12S029501.SW,1424899,1505790,0.946280025767205,NA,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.111741,-111.220699,1456,NA,NA,NA,NA
NA,12S029701.SW,1429240,1505790,0.949162897880847,NA,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.111741,-111.220699,1456,NA,NA,NA,NA
NA,12S029801.SW,1429708,1505790,0.949473698191647,NA,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.111741,-111.220699,1456,NA,NA,NA,NA
NA,12S030601.SW,1413393,1505790,0.938638854023469,NA,Swarts_etal_2017,PI_218181:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA
NA,12S030701.SW,1429885,1505790,0.949591244463039,NA,Swarts_etal_2017,PI_218181:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA
NA,12S031101.SW,1429861,1505790,0.949575305985562,NA,Swarts_etal_2017,PI_218181:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA
NA,12S031501.SW,1437419,1505790,0.954594598184342,NA,Swarts_etal_2017,PI_218181:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA
NA,12S032001.SW,1428286,1505790,0.948529343401138,NA,Swarts_etal_2017,PI_218181:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA
NA,12S032101.SW,1439058,1505790,0.955683063375371,NA,Swarts_etal_2017,PI_218187:Mojave,US - Lower CO River,Landrace,Unknown,Unknown,ColoradoRiver,ColoradoRiver,945,NA,NA,NA,NA
NA,12S032201.SW,1446033,1505790,0.960315183392106,NA,Swarts_etal_2017,PI_218187:Mojave,US - Lower CO River,Landrace,Unknown,Unknown,ColoradoRiver,ColoradoRiver,945,NA,NA,NA,NA
NA,12S033301.SW,1442227,1505790,0.957787606505555,NA,Swarts_etal_2017,PI_218187:Mojave,US - Lower CO River,Landrace,Unknown,Unknown,ColoradoRiver,ColoradoRiver,945,NA,NA,NA,NA
NA,12S033401.SW,1434469,1505790,0.952635493661135,NA,Swarts_etal_2017,PI_218187:Mojave,US - Lower CO River,Landrace,Unknown,Unknown,ColoradoRiver,ColoradoRiver,945,NA,NA,NA,NA
NA,12S033501.SW,1432483,1505790,0.951316584649918,NA,Swarts_etal_2017,PI_218187:Mojave,US - Lower CO River,Landrace,Unknown,Unknown,ColoradoRiver,ColoradoRiver,945,NA,NA,NA,NA
NA,12S033601.SW,1423465,1505790,0.945327701737958,NA,Swarts_etal_2017,PI_317678:Havasupai,US - Puebloan (West),Landrace,Unknown,Unknown,36.1324,-112.4138,963,NA,NA,NA,NA
NA,12S034301.SW,1425400,1505790,0.946612741484536,NA,Swarts_etal_2017,PI_317678:Havasupai,US - Puebloan (West),Landrace,Unknown,Unknown,36.1324,-112.4138,963,NA,NA,NA,NA
NA,12S034401.SW,1422127,1505790,0.944439131618619,NA,Swarts_etal_2017,PI_317678:Havasupai,US - Puebloan (West),Landrace,Unknown,Unknown,36.1324,-112.4138,963,NA,NA,NA,NA
