Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Mean,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SEEDGWAS246.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-004762,NA,Landrace,Unknown,Unknown,-20.62891,-51.127617,353,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0175563497713416,-0.0169425,0.000714461,0.0460191,0.00589476,-0.0103587,-0.0300157,0.00820273,0.00572733,-0.0146469,-0.00172628
SEEDGWAS2460.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006600,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0102772287745358,-0.00752977,-0.0104505,0.00659337,-0.0126984,-0.00153539,0.0440244,0.00806905,0.055668,-0.0119375,0.024635
SEEDGWAS2461.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006655,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0117123972212811,-0.00714622,-0.0114295,0.00687145,-0.0110716,0.00169199,0.0413013,0.00910861,0.0537236,-0.0166555,0.0214149
SEEDGWAS2462.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006747,NA,Landrace,Unknown,Unknown,30.38333333,-107.9333333,1462,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.106482811001179,0.0126762,-0.00715204,-0.00443665,0.0117651,0.0130857,-0.00543764,0.0314296,0.0161273,0.0288657,0.0285944
SEEDGWAS2464.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006917,NA,Landrace,Unknown,Unknown,23.480832,-104.393881,1406,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,0.00846636297164632,0.00518065,0.00671156,-0.00437202,-0.00156293,0.000830895,-0.00107351,-0.00350222,0.00653278,-0.00567069,0.0142067
SEEDGWAS2466.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006934,NA,Landrace,Unknown,Unknown,20.284838,-103.903927,1737,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0115325329743584,0.0100784,-0.0057394,-0.00631065,0.0149091,0.00965968,-0.00587245,0.0162777,0.00964305,-0.00935839,-0.00787328
SEEDGWAS2467.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006942,NA,Landrace,Unknown,Unknown,22.394537,-103.7373,1358,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00917647370799688,-0.00267791,-0.00192862,-0.00901712,0.00436497,0.00494275,-0.00346242,-0.00169071,0.00791034,-0.00698724,0.00387686
SEEDGWAS2468.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006951,NA,Landrace,Unknown,Unknown,22.11666667,-103.25,1701,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.0367487118386789,0.0105964,-0.000754929,-0.00410527,0.0109213,0.0120474,-0.000831223,0.0143229,0.00926207,0.000525891,-0.00396272
SEEDGWAS2469.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006962,NA,Landrace,Unknown,Unknown,21.381182,-104.129825,1317,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0227825619687115,-0.00477498,-7.17754e-05,-0.0115378,0.0044268,0.00623464,-0.00724761,-0.00126807,0.0115906,0.000683186,0.0122715
SEEDGWAS247.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-004776,NA,Landrace,Unknown,Unknown,-20.62891,-51.127617,353,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0103701900032014,-0.016507,0.00140582,0.0332741,0.00444797,-0.0139333,-0.0216614,0.0011613,0.00372612,-0.0110788,0.00271006
SEEDGWAS2470.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007000,NA,Landrace,Unknown,Unknown,21.78333333,-102.9666667,1530,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.0307527592957662,0.00542182,4.57634e-05,-0.00690846,0.0115655,0.0111053,-0.00375419,0.0092595,0.0080655,-0.0025999,-0.00535257
SEEDGWAS2472.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007055,NA,Landrace,Unknown,Unknown,21.221061,-104.739704,1284,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.011250641656952,-0.00694142,-0.0129824,0.00780714,-0.0158119,-0.00202603,0.0470938,0.0088023,0.0555815,-0.0102453,0.0245485
SEEDGWAS2473.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007057,NA,Landrace,Unknown,Unknown,21.221061,-104.739704,1284,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00862808768793052,-0.00382838,-0.000685367,-0.00857149,0.00822206,0.00236986,-0.012548,-0.0112887,0.00289558,0.00854572,-0.00967973
SEEDGWAS2474.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007058,NA,Landrace,Unknown,Unknown,21.06666667,-104.4833333,1003,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00876660198467759,-0.00177606,-0.000784256,-0.00925818,0.00782266,0.00240655,-0.0148778,-0.00844772,0.0019385,0.00464228,-0.00857075
SEEDGWAS2475.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007526,NA,Landrace,Unknown,Unknown,17.312798,-97.816908,1896,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00923210780809777,-0.00684729,-0.00020054,-0.0102326,0.00751935,0.00046609,-0.0131048,-0.0177227,0.0011987,0.00907644,-0.00167592
SEEDGWAS2476.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007930,NA,Landrace,Unknown,Unknown,30.38333333,-107.9333333,1462,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,0.0106479921006448,0.00392023,0.00573546,-0.00263705,0.00753795,0.00445479,-0.00335798,-0.00489552,0.00105346,-0.000415291,-0.0226185
SEEDGWAS2477.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-008009,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00807945425668521,0.00569158,-0.00539651,0.00263288,-0.0200257,-0.00667286,-0.00322891,-0.0184223,0.00506711,0.0267497,-0.0242292
SEEDGWAS2478.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-008020,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0100961733906979,0.000418108,-0.0101632,0.000290801,-0.00395588,0.00485163,-0.00145517,0.00103076,0.0101548,-0.0115745,-0.0115314
SEEDGWAS2479.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-008073,NA,Landrace,Unknown,Unknown,19.290057,-100.441427,1303,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0115753394649859,0.00789601,-0.000346448,-0.00372021,0.00982423,0.00887292,-0.00820592,0.00145911,0.00449655,-0.0086983,-0.0226792
SEEDGWAS2480.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-008074,NA,Landrace,Unknown,Unknown,19.41666667,-102.4,2176,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,0.0101618763590817,0.0179664,0.0113234,0.00292855,-0.000862354,-0.00213579,-0.00542442,-0.00858379,-0.00402699,-0.000303466,-0.0118407
SEEDGWAS2481.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-008078,NA,Landrace,Unknown,Unknown,19.71666667,-102.5166667,1656,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0102846248845702,0.0155748,0.007351,0.00321026,0.00395814,0.00276731,-0.00590767,0.000518552,-0.00576397,0.0024901,-0.0209268
SEEDGWAS2482.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-008079,NA,Landrace,Unknown,Unknown,19.58333333,-102.4666667,1327,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00897709836875825,0.0108445,0.000471463,-0.00551683,0.0107129,0.0093022,-0.00310526,0.00715063,0.00369059,-0.0109496,-0.0191156
SEEDGWAS2483.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-008099,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00930600359059534,-0.00813982,-0.00999129,0.00503592,-0.0150896,0.000875353,0.0423383,0.00774297,0.0556393,-0.0206718,0.025792
SEEDGWAS2484.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-009044,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00918421420874768,-0.0104413,-0.00572139,-0.00592941,-0.0234386,-0.0147834,0.00729276,0.0190477,0.00143251,0.00286447,-0.00607319
SEEDGWAS2486.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-009168,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.00905780031466014,-0.0143538,0.00508335,-0.00843758,-0.00449865,-0.0170474,-0.00550521,0.00506646,-0.0110162,0.0123534,-0.0156412
SEEDGWAS2487.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-009658,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00966865121919936,-0.0152103,0.00174453,0.0227095,0.00318357,-0.0119814,-0.0287611,-0.00983278,0.0102341,3.80277e-05,-0.00984841
SEEDGWAS2488.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-009719,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0104919878720323,-0.0127189,0.00325551,-0.000906131,0.00288559,-0.00360349,-0.0117234,-0.01739,-0.000955287,0.0103056,-0.00116927
SEEDGWAS2489.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-010008,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00809188671204027,-0.00845503,-0.00951609,0.00759437,-0.010284,-0.00104834,0.0428076,0.00693518,0.0559861,-0.0113714,0.0184144
SEEDGWAS249.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-004781,NA,Landrace,Unknown,Unknown,-21.533333,-51.483333,373,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0116004200531308,-0.0117942,-0.0041697,0.0250754,-0.00510907,-0.00456242,-0.0161812,0.00261534,0.00472448,-0.00572326,-0.000703679
SEEDGWAS2490.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-010490,NA,Landrace,Unknown,Unknown,19.55706,-103.814756,1134,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00845156562107802,0.00800875,-0.00499496,-0.00659869,0.0157964,0.00880899,-0.00798403,0.011582,0.00845168,-0.0080012,-0.0161197
