Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Mean,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SEEDGWAS163.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-003242,NA,Landrace,Unknown,Unknown,20.5422222,-97.27305556,58,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.008030768984146,-0.0126836,0.00468207,-0.0134106,-0.00220968,-0.00104394,-0.00789447,-0.0180392,0.00249305,-0.000591648,0.0203063
SEEDGWAS1631.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015556,NA,Landrace,Unknown,Unknown,16.606885,-92.712153,737,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0114099459075618,-0.0102921,0.00410659,-0.011247,0.00206723,0.00393106,0.00275547,-0.00732896,0.00300121,-0.0143168,0.00396435
SEEDGWAS1632.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015572,NA,Landrace,Unknown,Unknown,18.300591,-100.69796,265,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00798000543896134,0.000665151,-0.00417888,-0.00988929,0.0131129,0.0109624,-0.0022067,0.00659088,0.0081562,-0.0136297,-0.00839112
SEEDGWAS1633.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015585,NA,Landrace,Unknown,Unknown,19.08164,-102.373599,302,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0111354083919841,0.00214994,-0.00513393,-0.00903771,0.0143436,0.0106632,-0.00468596,0.00717855,0.00812563,-0.0108824,-0.0121482
SEEDGWAS1634.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015597,NA,Landrace,Unknown,Unknown,21.95,-105.2166667,13,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00988066058456111,0.00534419,-0.0140931,-0.0106652,0.022192,0.0151923,-0.0116176,0.0197579,0.0134487,-0.0110009,-0.0090393
SEEDGWAS1635.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015600,NA,Landrace,Unknown,Unknown,22.024349,-105.22623,15,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0590678065421334,0.00515335,-0.0129754,-0.00938817,0.0223683,0.0143509,-0.00747012,0.020909,0.0118763,-0.0173843,-0.0069409
SEEDGWAS1636.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015602,NA,Landrace,Unknown,Unknown,22.36666667,-105.5333333,6,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00985644771044662,0.0054175,-0.0139016,-0.0110676,0.022239,0.0151545,-0.0103263,0.0227859,0.0121813,-0.0135783,-0.0106514
SEEDGWAS1638.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015609,NA,Landrace,Unknown,Unknown,16.580327,-94.601906,79,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0115950753388853,-0.00233359,-0.00223714,-0.012018,0.00918361,0.013836,0.000573965,0.0027597,0.00754876,-0.0140763,-0.0135175
SEEDGWAS1639.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015625,NA,Landrace,Unknown,Unknown,20.51666667,-86.91666667,8,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0110540906865765,-0.0102152,0.00286525,-0.00794072,0.00544005,0.00981582,0.00834717,-0.00538768,0.000483058,-0.0133544,-0.00331481
SEEDGWAS164.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-003245,NA,Landrace,Unknown,Unknown,20.471501,-97.343051,206,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.00981155779254091,-0.0129806,0.00396728,-0.0143665,-0.00263681,-0.00278922,-0.00760477,-0.015162,0.000309491,0.000531083,0.0186691
SEEDGWAS1641.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015638,NA,Landrace,Unknown,Unknown,21.544818,-98.905924,182,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0105323262219093,-0.0120305,0.0038259,-0.0127273,-0.000981968,-0.000565883,-0.00477571,-0.0133833,0.0019918,-0.00294597,0.010521
SEEDGWAS1643.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015672,NA,Landrace,Unknown,Unknown,24.25333,-99.481609,349,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0134444477730239,-0.0113726,0.00447877,-0.0144514,-0.00117671,-0.000425849,-0.00720136,-0.0170905,0.00453419,-0.00103222,0.0177732
SEEDGWAS1644.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015674,NA,Landrace,Unknown,Unknown,24.26666667,-99.48333333,358,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0694602978161893,-0.0113698,0.00367654,-0.0137679,-0.000640819,-0.00045314,-0.00784458,-0.0151663,0.0062031,-0.00102677,0.0231051
SEEDGWAS1645.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015678,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0123599541001948,-0.00959985,0.00235989,-0.0119987,0.00127991,0.00106269,-0.0071763,-0.00823871,0.00499153,-0.00167295,0.0139863
SEEDGWAS1646.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015680,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0882820042789236,-0.0111098,0.00446196,-0.0135876,-0.0015696,-0.00154863,-0.0068969,-0.0130823,0.00320593,0.000167382,0.0186492
SEEDGWAS1647.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015693,NA,Landrace,Unknown,Unknown,20.43027778,-97.382222,109,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0106268848948421,-0.0117923,0.00383219,-0.0143733,0.00189182,-0.00230348,-0.00556507,-0.0134075,0.00651163,-0.00422311,0.0118127
SEEDGWAS1648.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015694,NA,Landrace,Unknown,Unknown,20.43027778,-97.382222,109,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0117708401316199,-0.0112705,0.00243475,-0.0124583,-0.00104749,0.00105095,-0.00468981,-0.0141116,0.00469866,-0.00569232,0.0204683
SEEDGWAS1649.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-016619,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.014440825344953,-0.0131443,0.00244163,-0.0122011,-0.0052182,-0.0113149,-0.00271023,0.00224022,-0.00194723,0.00241583,0.00954064
SEEDGWAS1650.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-016625,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00927582872334288,-0.0107602,-0.00380273,-0.0078432,-0.0223711,-0.0103864,0.000879979,0.0253827,-0.00794933,-0.00168945,-0.00540239
SEEDGWAS1651.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-016108,NA,Landrace,Unknown,Unknown,14.9,-92.25,157,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0538274448943049,-0.0112975,0.00439913,-0.01432,0.00152016,0.000221314,-0.00480525,-0.0130464,0.00281068,-0.00268243,0.0103873
SEEDGWAS1652.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-016148,NA,Landrace,Unknown,Unknown,19.08164,-102.373599,302,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00980258190446732,0.000844716,-0.00436457,-0.0102147,0.0143616,0.00836331,-0.00418534,0.00345251,0.00832348,-0.00622532,-0.0130977
SEEDGWAS1653.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-016150,NA,Landrace,Unknown,Unknown,19.08164,-102.373599,302,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.01155419610511,-0.000793805,-0.00438326,-0.00938044,0.0131252,0.00946576,-0.00466532,-0.000396276,0.00570858,-0.000326727,-0.0132757
SEEDGWAS1654.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-016157,NA,Landrace,Unknown,Unknown,18.71666667,-99.36666667,952,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0793684025653177,-0.00811128,0.00149827,-0.0119063,0.00357787,0.00632947,-0.00116463,0.000281147,0.0130908,-0.0173103,0.0218263
