Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Mean,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SEEDGWAS5187.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000170,NA,Landrace,Unknown,Unknown,18.761556,-103.165492,1014,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00964085671698761,-3.2980117887793,0.886354673313315,14.1833199473276,9.06608086569654,8.95936321247884,11.6478661271583,-4.84603639739545,5.04213440090069,2.08751521547264,-0.355508703603552
SEEDGWAS5189.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000234,NA,Landrace,Unknown,Unknown,18.332954,-97.241203,1137,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00944916655938165,-10.0102689665447,4.22581632415453,1.46068799274824,7.43048062738747,6.58961752755687,5.59469420098625,2.32095355263828,1.00764094602549,4.44492701128158,-4.820027263869
SEEDGWAS519.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-023562,NA,Landrace,Unknown,Unknown,-26.7,-60.83333333,106,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0114274181384619,-35.6757871471499,-4.50024516838444,-6.17781914196429,6.5558022168043,-11.5659985323535,-7.0425866570307,4.54218222201513,-3.26809955316352,-21.9991825209123,2.15621991027384
SEEDGWAS5190.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000239,NA,Landrace,Unknown,Unknown,18.483431,-97.427292,1677,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0107437142790542,-7.23086793933874,7.31824151544354,0.225946906362351,7.65877925878276,4.87821396163339,3.65768016322028,1.18049978196556,1.54949420396638,3.80930486659498,-3.8322744638055
SEEDGWAS5191.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000280,NA,Landrace,Unknown,Unknown,20.59568,-100.777428,1768,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00953504607798098,8.27153217900498,6.85112977895331,7.46298880381988,6.90032443916201,7.14537617093495,7.07622855691633,-3.76623644819447,0.655683612989068,0.438672728912004,-4.21896341027563
SEEDGWAS5192.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000333,NA,Landrace,Unknown,Unknown,19.8,-104.2,870,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0089127674930986,-17.9374204897574,-0.79550876106796,5.54983919445819,10.1300054221118,0.249593322341487,1.80865350754313,-8.09799503789806,0.709897082383736,5.75536279233102,0.254551601519428
SEEDGWAS5193.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000361,NA,Landrace,Unknown,Unknown,21.43333333,-104.6,860,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00862839163945914,-15.4098482981367,1.8776803431303,7.54921404246532,10.8361470938962,1.64839078777934,1.6629879166556,-6.10275801994922,-0.0286742638539723,5.35486301616539,-1.36616470034093
SEEDGWAS5194.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000568,NA,Landrace,Unknown,Unknown,20.375341,-104.69997,1441,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0142072080396948,21.8918332718237,20.3713376838202,-1.0482360322541,-0.590077866269563,3.68785739808694,0.512734223586012,-1.93685637709424,-0.142086191128027,-1.04822903367378,-0.815632224230514
SEEDGWAS5195.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000656,NA,Landrace,Unknown,Unknown,21.79805556,-99.9322222,943,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00943101602076576,-27.1719889660382,0.50715635086021,-1.78880362043657,9.23614035349521,-3.17142351558186,-1.3779924594829,-6.62662602115071,-3.20164275935029,6.98899230897567,-0.244278102100128
SEEDGWAS5196.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000946,NA,Landrace,Unknown,Unknown,9.421917,-83.658268,871,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0109216474234949,-35.9044979713205,-1.32935542944925,-5.97009571538462,3.30665614723123,-3.60369352119124,-3.28866083110039,6.03185332424679,4.27553667634307,-15.6263282132672,2.29911761119369
SEEDGWAS5197.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-001489,NA,Landrace,Unknown,Unknown,24.766667,-104.466667,1750,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0102265916230551,13.0443791140716,10.6413641500833,5.28679991987197,4.57604475078498,6.46296941180389,7.30340549697026,-4.80473331086851,-1.43416840860021,-0.82843620741995,-5.75213866259893
SEEDGWAS5199.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-001672,NA,Landrace,Unknown,Unknown,14.259326,-90.11921,1351,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00962759324743698,-25.0769000883287,2.89015963832701,-1.69516467978226,11.8937289753754,4.83753766937666,5.26574798774998,12.9188756264134,4.30337425895877,2.56081202473471,0.824008173632624
SEEDGWAS52.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000835,NA,Landrace,Unknown,Unknown,21.15474,-88.137823,17,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00944406425488559,-27.4720556959864,-3.41089308921886,-3.24508076427476,11.7953647764665,3.80072079875222,4.86722320649814,14.138180626044,4.14679303927722,1.41267867040972,1.79535368168564
SEEDGWAS520.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-023563,NA,Landrace,Unknown,Unknown,-26.87,-60.45,92,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0132925850364893,-37.8518526911329,-4.48109968157818,-8.28954380027525,7.78624003784342,-7.79684177301115,-7.53890697310264,5.72690784135714,-1.83522495925906,-17.6831178816422,1.57914643803684
SEEDGWAS5200.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-001851,NA,Landrace,Unknown,Unknown,14.617455,-91.399905,726,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0100024914638077,-28.1215123156799,-0.803325870008432,-2.60306236442879,11.1915251534596,3.82956667600282,5.11288636386416,10.6253998046061,4.45546901565328,4.12866352822249,2.84132279586551
SEEDGWAS5201.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-001942,NA,Landrace,Unknown,Unknown,18.75,-99.66666667,1617,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0117163117888353,-0.590713832408075,3.04644961777896,7.73790174351014,9.48373091799261,8.36411315995974,6.83955814771261,-4.88088247998529,-3.18084077665385,3.42407090935271,-5.48455546729524
SEEDGWAS5202.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-002011,NA,Landrace,Unknown,Unknown,18.830753,-99.234331,1233,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0571716978349306,4.5410209555911,3.14608625331183,9.76037685354231,10.5209818662777,10.9302394594965,9.422251999409,-4.44394498132574,0.917131610539136,1.96543179000619,-7.23976182635091
