Simp_Name,Name,Missing,Total,Perc_Missing,Extra_Name,OG_Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP
NA,12S027901.SW,1437568,1505790,0.954693549565344,NA,NA,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA
NA,12S028501.SW,1438472,1505790,0.955293898883642,NA,NA,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA
NA,12S028601.SW,1452984,1505790,0.964931364931365,NA,NA,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA
NA,12S028801.SW,1418912,1505790,0.942304039739937,NA,NA,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA
NA,12S029001.SW,1447842,1505790,0.961516546131931,NA,NA,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA
NA,12S029101.SW,1438467,1505790,0.955290578367501,NA,NA,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.111741,-111.220699,1456,NA,NA,NA,NA
NA,12S029201.SW,1440777,1505790,0.956824656824657,NA,NA,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.111741,-111.220699,1456,NA,NA,NA,NA
NA,12S029501.SW,1425212,1505790,0.946487890077634,NA,NA,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.111741,-111.220699,1456,NA,NA,NA,NA
NA,12S029701.SW,1429119,1505790,0.949082541390234,NA,NA,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.111741,-111.220699,1456,NA,NA,NA,NA
NA,12S029801.SW,1429306,1505790,0.949206728693908,NA,NA,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.111741,-111.220699,1456,NA,NA,NA,NA
