Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Mean,Ab10_Pseudo_Copy_Number,K10L2_Pseudo_Copy_Number,BChrom_Pseudo_Copy_Number
12S008801.SW,Swarts_etal_2017,PI_213728:Apache,US - Athabaskan,Landrace,Unknown,Unknown,33.22,110.25,1067,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.013194985,NA,NA,NA
12S009501.SW,Swarts_etal_2017,PI_213728:Apache,US - Athabaskan,Landrace,Unknown,Unknown,33.22,110.25,1067,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.012771422,NA,NA,NA
12S009801.SW,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0143034,0.021649858,NA,NA
12S009901.SW,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.013019419,NA,NA,NA
12S010201.SW,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.012952266,NA,NA,NA
12S010401.SW,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.015116015,NA,NA,NA
12S011001.SW,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.01232374,NA,NA,NA
12S011401.SW,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.00605,-107.3167,1728,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.014071343,NA,NA,NA
12S011601.SW,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.00605,-107.3167,1728,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.013914734,NA,NA,NA
12S011701.SW,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.00605,-107.3167,1728,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.012668796,NA,NA,NA
12S012401.SW,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.00605,-107.3167,1728,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.010537231,NA,NA,NA
12S012501.SW,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.00605,-107.3167,1728,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.011710924,NA,NA,NA
12S012601.SW,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.015670759,NA,NA,NA
12S012801.SW,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.01427087,NA,NA,NA
12S012901.SW,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.01404769,NA,NA,NA
12S013001.SW,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.065135344,NA,NA,0.065135344
12S013401.SW,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.01212282,NA,NA,NA
12S013801.SW,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.011496984,NA,NA,NA
12S013901.SW,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.059429752,NA,NA,0.059429752
12S014001.SW,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.033973601,NA,NA,0.033973601
12S014101.SW,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.053780777,NA,NA,0.053780777
12S014301.SW,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.011845871,NA,NA,NA
12S014701.SW,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.013159738,NA,NA,NA
12S014801.SW,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.013435932,NA,NA,NA
12S015401.SW,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.013009021,NA,NA,NA
12S015501.SW,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.013285289,NA,NA,NA
12S016001.SW,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.03519711,NA,NA,0.03519711
12S016201.SW,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.071033372,NA,NA,0.071033372
12S016301.SW,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.014717459,NA,NA,NA
12S016601.SW,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.05908313,NA,NA,0.05908313
12S017001.SW,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.059990942,NA,NA,0.059990942
12S017301.SW,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.061087343,NA,NA,0.061087343
12S017601.SW,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.013223035,NA,NA,NA
12S018001.SW,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.013555817,NA,NA,NA
12S018201.SW,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.074953001,NA,NA,0.074953001
12S018401.SW,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.015555062,NA,NA,NA
12S018701.SW,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.013399383,NA,NA,NA
12S019401.SW,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.011762268,0.021411866,NA,NA
12S019601.SW,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.012639199,NA,NA,NA
12S019801.SW,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA,Ab10,Ab10-I,NA,No,Neither,0.012344113,0.039023827,NA,NA
12S020001.SW,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.013338354,0.020979468,NA,NA
12S020401.SW,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.011822249,0.021182349,NA,NA
12S020601.SW,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.012718133,NA,NA,NA
12S020801.SW,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.010838622,NA,NA,NA
12S020901.SW,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.012124416,NA,NA,NA
12S021301.SW,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.010696498,NA,NA,NA
12S022001.SW,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.010759459,NA,NA,NA
12S022301.SW,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.011491867,0.020428877,NA,NA
12S022401.SW,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.011830543,0.021460925,NA,NA
12S022501.SW,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.012343097,NA,NA,NA
12S022701.SW,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.012802259,0.020617303,NA,NA
12S023401.SW,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.012676002,0.021607257,NA,NA
12S024301.SW,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,NA,NA,1829,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.010581905,NA,NA,NA
12S024401.SW,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,NA,NA,1829,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.012063838,NA,NA,NA
12S024601.SW,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,NA,NA,1829,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.013560304,NA,NA,NA
12S024801.SW,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,NA,NA,1829,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.011862451,NA,NA,NA
12S024901.SW,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,NA,NA,1829,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.010459078,NA,NA,NA
12S025401.SW,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,Ab10,Ambiguous,NA,Yes,Low,0.04230411,0.021194708,NA,0.04230411
12S025501.SW,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.011567452,NA,NA,NA
12S025601.SW,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.011214998,NA,NA,NA
12S025701.SW,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.059658532,NA,NA,0.059658532
