Name,Mean,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Copy,CDH
B73_K10L2.11.DC2,0.00636310978216646,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
B73_K10L2.2.DC2,0.00354707022729465,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
B73_K10L2.3.DC2,0.00543205612900593,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
B73_K10L2.4.DC2,0.00389673679044095,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
B73_K10L2.5.DC2,0.00528292386158927,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
B73_K10L2.6.DC2,0.00639581054023226,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
B73_K10L2.7.DC2,0.0067145606100319,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
B73_K10L2.8.DC2,0.00863582683142575,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
B73_K10L2.9.DC2,0.00783105953828082,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
B73_N10.1.DC2,0.00534970540244908,Dawe_Lab_2,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
B73_N10.2.DC2,0.00621602083865915,Dawe_Lab_2,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
B73_N10.3.DC2,0.00616811732193081,Dawe_Lab_2,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
FFMM_Ab10-I_hom.1.DC2,0.0122246314293788,Dawe_Lab_2,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
FFMM_Ab10-I_hom.2.DC2,0.011524265985019,Dawe_Lab_2,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
FFMM_Ab10-I_hom.3.DC2,0.0108843952200637,Dawe_Lab_2,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
FFMM.1.DC2,0.0111041753507363,Dawe_Lab_2,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
FFMM.2.DC2,0.0115341487020315,Dawe_Lab_2,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
FFMM.3.DC2,0.0118022667726402,Dawe_Lab_2,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
PI-217409.1.DC2,0.0113196414576711,Dawe_Lab_2,NA,NA,Landrace,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
PI-217409.2.DC2,0.0120880194686978,Dawe_Lab_2,NA,NA,Landrace,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
PI-217409.3.DC2,0.0117924235982785,Dawe_Lab_2,NA,NA,Landrace,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
PI-444954.1.DC2,0.0128738741161807,Dawe_Lab_2,NA,NA,Landrace,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
PI-444954.2.DC2,0.0159986464317871,Dawe_Lab_2,NA,NA,Landrace,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
PI-444954.3.DC2,0.0130678554898302,Dawe_Lab_2,NA,NA,Landrace,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
PI-483314_K10L2.1.DC2,0.0100668765452846,Dawe_Lab_2,NA,NA,Landrace,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
PI-483314_K10L2.2.DC2,0.0107470004813798,Dawe_Lab_2,NA,NA,Landrace,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
PI-483314_K10L2.3.DC2,0.00827545851912628,Dawe_Lab_2,NA,NA,Landrace,Ab10_Unknown,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.1.DC1,0.0107033235463003,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.10.DC1,0.0122344509744677,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.11.DC1,0.0127321612595494,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.12.DC1,0.0102927778537161,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.13.DC1,0.0112000054833387,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.14.DC1,0.0148800017333511,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.15.DC1,0.0107764069842968,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.16.DC1,0.0115967767066559,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.17.DC1,0.0102992651551003,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.18.DC1,0.0106810099760463,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.19.DC1,0.0140050538638503,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.2.DC1,0.0129010947259325,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.20.DC1,0.00904839034620752,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.21.DC1,0.0157891359616674,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.22.DC1,0.0138165663456247,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.23.DC1,0.0112507052025553,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.24.DC1,0.0112453036868637,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.25.DC1,0.0102222447561687,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.26.DC1,0.0100391199974353,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.27.DC1,0.0124843470188272,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.28.DC1,0.0147045580456786,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.29.DC1,0.0146567256720842,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.3.DC1,0.0117452520965075,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.30.DC1,0.0119651478001698,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.31.DC1,0.0113758150522665,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.32.DC1,0.0112239982877975,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.33.DC1,0.014601678880022,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.34.DC1,0.0133960983854359,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.35.DC1,0.0104355862277462,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.36.DC1,0.0152862016768261,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.37.DC1,0.0160732466741897,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.38.DC1,0.0173925620239133,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.39.DC1,0.0116261968093949,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.4.DC1,0.00983433153052464,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.40.DC1,0.0122555592168326,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.41.DC1,0.0167464799065737,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.5.DC1,0.0124689482784006,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.6.DC1,0.0111067700119859,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.7.DC1,0.0124955254944422,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.8.DC1,0.0164476237714324,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-I.9.DC1,0.00882009613532506,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.1.DC1,0.012935408781114,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.10.DC1,0.0117534934469373,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.11.DC1,0.0111909650935042,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.12.DC1,0.0149757808446785,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.13.DC1,0.0129958489223859,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.14.DC1,0.0107529853594349,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.15.DC1,0.00938011147284571,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.16.DC1,0.0125789312274859,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.17.DC1,0.0142084635005511,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.18.DC1,0.00932188838930532,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.19.DC1,0.011431842035417,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.2.DC1,0.00971699080313551,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.20.DC1,0.0100098271282235,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.21.DC1,0.0118782759948618,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.22.DC1,0.00952358892725703,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.23.DC1,0.00995159605801945,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.24.DC1,0.00992170398016805,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.25.DC1,0.0111903537484038,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.26.DC1,0.00821156404871075,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
W23_AB10-II.27.DC1,0.0098520184101691,Dawe_Lab_1,NA,NA,Inbred,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
