Name,Mean,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Copy,CDH
SEEDGWAS3892.RN,0.030130633,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007126,NA,Landrace,Unknown,Unknown,23.357714,-106.427516,58,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3893.RN,0.085025836,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007127,NA,Landrace,Unknown,Unknown,23.357714,-106.427516,58,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3900.RN,0.038518866,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007138,NA,Landrace,Unknown,Unknown,24.71666667,-107.2166667,129,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3901.RN,0.056376552,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007140,NA,Landrace,Unknown,Unknown,25.1,-107.45,210,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3908.RN,0.03221692,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007168,NA,Landrace,Unknown,Unknown,25.408895,-107.562256,259,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3913.RN,0.030700288,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007203,NA,Landrace,Unknown,Unknown,26.71666667,-108.3333333,254,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3914.RN,0.037724073,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007204,NA,Landrace,Unknown,Unknown,26.71666667,-108.3333333,254,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3923.RN,0.042000783,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007252,NA,Landrace,Unknown,Unknown,27.048661,-108.975724,444,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3927.RN,0.037700025,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007257,NA,Landrace,Unknown,Unknown,27.83333333,-109.3333333,409,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3935.RN,0.050799116,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007292,NA,Landrace,Unknown,Unknown,28.975149,-109.395459,454,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
