"","Name","Data_Source","Accession","Group","Maize_Type","Ab10_Status","B_Chrom_Status","Latitude","Longitude","Altitude","DTA_BLUP","DTS_BLUP","PH_BLUP","PresTiller_BLUP","KMeans_Chr10Class","RF_Ab10Class"
"51","12S012801.SW","Swarts_etal_2017","PI_218134:Tesuque","US - Puebloan (East)","Landrace","Unknown","Unknown",35.746069,-105.922108,2060,NA,NA,NA,NA,"N10",NA
"52","12S012901.SW","Swarts_etal_2017","PI_218134:Tesuque","US - Puebloan (East)","Landrace","Unknown","Unknown",35.746069,-105.922108,2060,NA,NA,NA,NA,"N10",NA
"53","12S013001.SW","Swarts_etal_2017","PI_218134:Tesuque","US - Puebloan (East)","Landrace","Unknown","Unknown",35.746069,-105.922108,2060,NA,NA,NA,NA,"N10",NA
"54","12S013401.SW","Swarts_etal_2017","PI_218134:Tesuque","US - Puebloan (East)","Landrace","Unknown","Unknown",35.746069,-105.922108,2060,NA,NA,NA,NA,"N10",NA
"55","12S013801.SW","Swarts_etal_2017","PI_218135:Picuris_not_San_Lorenzo","US - Puebloan (East)","Landrace","Unknown","Unknown",36.129,-105.4242,2232,NA,NA,NA,NA,"N10",NA
"56","12S013901.SW","Swarts_etal_2017","PI_218135:Picuris_not_San_Lorenzo","US - Puebloan (East)","Landrace","Unknown","Unknown",36.129,-105.4242,2232,NA,NA,NA,NA,"N10",NA
"57","12S014001.SW","Swarts_etal_2017","PI_218135:Picuris_not_San_Lorenzo","US - Puebloan (East)","Landrace","Unknown","Unknown",36.129,-105.4242,2232,NA,NA,NA,NA,"N10",NA
"58","12S014101.SW","Swarts_etal_2017","PI_218135:Picuris_not_San_Lorenzo","US - Puebloan (East)","Landrace","Unknown","Unknown",36.129,-105.4242,2232,NA,NA,NA,NA,"N10",NA
"59","12S014301.SW","Swarts_etal_2017","PI_218135:Picuris_not_San_Lorenzo","US - Puebloan (East)","Landrace","Unknown","Unknown",36.129,-105.4242,2232,NA,NA,NA,NA,"N10",NA
"60","12S014701.SW","Swarts_etal_2017","PI_218136:Tesuque","US - Puebloan (East)","Landrace","Unknown","Unknown",35.746069,-105.922108,2060,NA,NA,NA,NA,"N10",NA
