Name,Prop,Model,KMeans_BChrom
SEEDGWAS3333.RN,1,High,Yes
SEEDGWAS3348.RN,1,High,Yes
SEEDGWAS3390.RN,1,High,Yes
SEEDGWAS3408.RN,0.968,High,Yes
SEEDGWAS3414.RN,1,High,Yes
SEEDGWAS3415.RN,0.984,High,Yes
SEEDGWAS3450.RN,1,High,Yes
SEEDGWAS3473.RN,1,High,Yes
SEEDGWAS3496.RN,1,High,Yes
SEEDGWAS3497.RN,1,High,Yes
SEEDGWAS350.RN,1,High,Yes
SEEDGWAS3572.RN,1,High,Yes
SEEDGWAS3575.RN,1,High,Yes
SEEDGWAS3701.RN,1,High,Yes
SEEDGWAS3702.RN,0.976,High,Yes
SEEDGWAS3708.RN,1,High,Yes
SEEDGWAS3716.RN,1,High,Yes
SEEDGWAS3720.RN,1,High,Yes
SEEDGWAS3726.RN,1,High,Yes
SEEDGWAS3756.RN,1,High,Yes
SEEDGWAS3762.RN,1,High,Yes
SEEDGWAS3778.RN,0.872,High,Yes
SEEDGWAS3782.RN,1,High,Yes
SEEDGWAS3786.RN,1,High,Yes
SEEDGWAS3798.RN,1,High,Yes
SEEDGWAS3800.RN,1,High,Yes
SEEDGWAS3801.RN,1,High,Yes
SEEDGWAS3803.RN,1,High,Yes
SEEDGWAS3821.RN,0.984,High,Yes
SEEDGWAS3872.RN,1,High,Yes
SEEDGWAS3893.RN,1,High,Yes
SEEDGWAS3936.RN,1,High,Yes
SEEDGWAS3939.RN,0.968,High,Yes
SEEDGWAS3961.RN,1,High,Yes
SEEDGWAS3964.RN,1,High,Yes
SEEDGWAS3981.RN,0.88,High,Yes
SEEDGWAS3983.RN,0.96,High,Yes
SEEDGWAS4052.RN,1,High,Yes
SEEDGWAS4058.RN,1,High,Yes
SEEDGWAS4073.RN,1,High,Yes
SEEDGWAS4098.RN,1,High,Yes
SEEDGWAS4111.RN,1,High,Yes
SEEDGWAS4113.RN,1,High,Yes
SEEDGWAS4114.RN,1,High,Yes
SEEDGWAS4130.RN,1,High,Yes
SEEDGWAS4136.RN,1,High,Yes
SEEDGWAS4157.RN,1,High,Yes
SEEDGWAS4168.RN,1,High,Yes
SEEDGWAS4171.RN,1,High,Yes
SEEDGWAS4173.RN,1,High,Yes
SEEDGWAS4187.RN,1,High,Yes
SEEDGWAS4201.RN,1,High,Yes
SEEDGWAS4214.RN,1,High,Yes
SEEDGWAS4217.RN,1,High,Yes
SEEDGWAS4232.RN,1,High,Yes
SEEDGWAS4268.RN,1,High,Yes
SEEDGWAS4269.RN,1,High,Yes
SEEDGWAS4270.RN,1,High,Yes
SEEDGWAS4273.RN,1,High,Yes
SEEDGWAS4293.RN,1,High,Yes
SEEDGWAS4296.RN,0.992,High,Yes
SEEDGWAS430.RN,0.976,High,Yes
SEEDGWAS4301.RN,1,High,Yes
SEEDGWAS4311.RN,1,High,Yes
SEEDGWAS4325.RN,1,High,Yes
SEEDGWAS4338.RN,1,High,Yes
SEEDGWAS4347.RN,1,High,Yes
SEEDGWAS4382.RN,1,High,Yes
SEEDGWAS4387.RN,1,High,Yes
SEEDGWAS4388.RN,1,High,Yes
SEEDGWAS4397.RN,1,High,Yes
SEEDGWAS4400.RN,1,High,Yes
SEEDGWAS4419.RN,1,High,Yes
SEEDGWAS4421.RN,1,High,Yes
SEEDGWAS4422.RN,1,High,Yes
SEEDGWAS4424.RN,1,High,Yes
SEEDGWAS4426.RN,1,High,Yes
SEEDGWAS4432.RN,1,High,Yes
SEEDGWAS4433.RN,1,High,Yes
SEEDGWAS4435.RN,1,High,Yes
SEEDGWAS4436.RN,1,High,Yes
SEEDGWAS4455.RN,1,High,Yes
SEEDGWAS4488.RN,1,High,Yes
SEEDGWAS4489.RN,1,High,Yes
SEEDGWAS4491.RN,1,High,Yes
SEEDGWAS4544.RN,0.992,High,Yes
SEEDGWAS4547.RN,1,High,Yes
SEEDGWAS4584.RN,1,High,Yes
SEEDGWAS4587.RN,1,High,Yes
SEEDGWAS4588.RN,1,High,Yes
SEEDGWAS4597.RN,1,High,Yes
SEEDGWAS4627.RN,1,High,Yes
SEEDGWAS4628.RN,1,High,Yes
SEEDGWAS4629.RN,1,High,Yes
SEEDGWAS4641.RN,1,High,Yes
SEEDGWAS4656.RN,0.944,High,Yes
SEEDGWAS4657.RN,1,High,Yes
SEEDGWAS4661.RN,1,High,Yes
SEEDGWAS4662.RN,1,High,Yes
SEEDGWAS4688.RN,1,High,Yes
SEEDGWAS4708.RN,1,High,Yes
SEEDGWAS4720.RN,0.92,High,Yes
SEEDGWAS4726.RN,1,High,Yes
SEEDGWAS4729.RN,0.976,High,Yes
SEEDGWAS4756.RN,1,High,Yes
SEEDGWAS4777.RN,1,High,Yes
SEEDGWAS4783.RN,1,High,Yes
SEEDGWAS4813.RN,1,High,Yes
SEEDGWAS4832.RN,1,High,Yes
SEEDGWAS4833.RN,1,High,Yes
SEEDGWAS4834.RN,1,High,Yes
SEEDGWAS4841.RN,1,High,Yes
SEEDGWAS4844.RN,1,High,Yes
SEEDGWAS4847.RN,0.952,High,Yes
SEEDGWAS4851.RN,1,High,Yes
SEEDGWAS4852.RN,1,High,Yes
SEEDGWAS4889.RN,1,High,Yes
SEEDGWAS4894.RN,1,High,Yes
SEEDGWAS4898.RN,1,High,Yes
SEEDGWAS4903.RN,1,High,Yes
SEEDGWAS4920.RN,1,High,Yes
SEEDGWAS4929.RN,1,High,Yes
SEEDGWAS4938.RN,1,High,Yes
SEEDGWAS4942.RN,1,High,Yes
SEEDGWAS4947.RN,1,High,Yes
SEEDGWAS4958.RN,1,High,Yes
SEEDGWAS4969.RN,1,High,Yes
SEEDGWAS4976.RN,1,High,Yes
SEEDGWAS498.RN,1,High,Yes
SEEDGWAS4987.RN,1,High,Yes
SEEDGWAS4989.RN,1,High,Yes
SEEDGWAS4991.RN,1,High,Yes
SEEDGWAS4992.RN,1,High,Yes
SEEDGWAS5004.RN,1,High,Yes
SEEDGWAS5048.RN,1,High,Yes
SEEDGWAS5056.RN,1,High,Yes
SEEDGWAS5075.RN,0.88,High,Yes
SEEDGWAS5128.RN,0.952,High,Yes
SEEDGWAS5130.RN,1,High,Yes
SEEDGWAS5138.RN,1,High,Yes
SEEDGWAS5150.RN,1,High,Yes
SEEDGWAS5160.RN,1,High,Yes
SEEDGWAS5166.RN,1,High,Yes
SEEDGWAS517.RN,1,High,Yes
SEEDGWAS5202.RN,1,High,Yes
SEEDGWAS5236.RN,1,High,Yes
SEEDGWAS5239.RN,1,High,Yes
SEEDGWAS5292.RN,1,High,Yes
SEEDGWAS5299.RN,1,High,Yes
SEEDGWAS5309.RN,1,High,Yes
SEEDGWAS5358.RN,1,High,Yes
SEEDGWAS556.RN,1,High,Yes
SEEDGWAS640.RN,1,High,Yes
SEEDGWAS645.RN,1,High,Yes
SEEDGWAS675.RN,0.992,High,Yes
SEEDGWAS693.RN,1,High,Yes
SEEDGWAS754.RN,1,High,Yes
SEEDGWAS761.RN,1,High,Yes
SEEDGWAS821.RN,1,High,Yes
SEEDGWAS885.RN,0.944,High,Yes
SEEDGWAS906.RN,1,High,Yes
SEEDGWAS992.RN,1,High,Yes
SEEDGWAS997.RN,1,High,Yes
TIL06.1.RY,1,High,Yes
TIL06.2.RY,1,High,Yes
TIL06.3.RY,1,High,Yes
TIL06.5.RY,1,High,Yes
12S000401.SW,1,Low,Yes
12S007701.SW,1,Low,Yes
12S007801.SW,1,Low,Yes
12S014001.SW,1,Low,Yes
12S016001.SW,1,Low,Yes
12S025401.SW,1,Low,Yes
12S026701.SW,1,Low,Yes
12S027901.SW,1,Low,Yes
12S028501.SW,1,Low,Yes
12S029201.SW,1,Low,Yes
12S038701.SW,1,Low,Yes
12S041401.SW,1,Low,Yes
12S044701.SW,1,Low,Yes
12S048001.SW,1,Low,Yes
12S049601.SW,1,Low,Yes
12S050801.SW,1,Low,Yes
13S001403.SW,1,Low,Yes
13S001901.SW,1,Low,Yes
13S002402.SW,1,Low,Yes
13S002406.SW,1,Low,Yes
13S002804.SW,1,Low,Yes
13S003205.SW,1,Low,Yes
13S009307.SW,1,Low,Yes
13S009310.SW,1,Low,Yes
13S009901.SW,1,Low,Yes
13S010306.SW,1,Low,Yes
13S010404.SW,1,Low,Yes
13S012107.SW,1,Low,Yes
13S012508.SW,0.992,Low,Yes
13S012602.SW,1,Low,Yes
13S012608.SW,1,Low,Yes
13S012905.SW,1,Low,Yes
13S014705.SW,1,Low,Yes
13S015205.SW,1,Low,Yes
13S015804.SW,1,Low,Yes
13S015805.SW,1,Low,Yes
13S016502.SW,1,Low,Yes
13S017401.SW,1,Low,Yes
13S017606.SW,1,Low,Yes
13S019009.SW,1,Low,Yes
13S021102.SW,1,Low,Yes
13S021901.SW,1,Low,Yes
13S023401.SW,1,Low,Yes
13S031904.SW,1,Low,Yes
13S035601.SW,1,Low,Yes
13S036805.SW,1,Low,Yes
13S036806.SW,1,Low,Yes
13S039102.SW,1,Low,Yes
13S043111.SW,1,Low,Yes
13S046808.SW,1,Low,Yes
13S047001.SW,1,Low,Yes
13S047404.SW,1,Low,Yes
13S048206.SW,1,Low,Yes
13S050306.SW,1,Low,Yes
13S050706.SW,1,Low,Yes
13S053002.SW,1,Low,Yes
13S053003.SW,1,Low,Yes
13S053005.SW,1,Low,Yes
13S053608.SW,1,Low,Yes
13S056003.SW,1,Low,Yes
13S057102.SW,1,Low,Yes
13S059008.SW,1,Low,Yes
13S059402.SW,1,Low,Yes
Ames23506.1.RY,1,Low,Yes
Ames26125.1.RY,1,Low,Yes
JSG_Y_RMM-444_01.SW,1,Low,Yes
JSG-LCL-689_04.SW,1,Low,Yes
NSL22631.1.RY,1,Low,Yes
PI186184.1.RY,1,Low,Yes
PI198889.1.RY,1,Low,Yes
PI340812.1.RY,1,Low,Yes
PI641259.1.RY,1,Low,Yes
RIMMA0382.1.SW,1,Low,Yes
RIMMA0416.1.SW,1,Low,Yes
RIMMA0425.1.SW,1,Low,Yes
RIMMA0436.1.SW,1,Low,Yes
RIMMA0464.1.SW,1,Low,Yes
RIMMA0465.1.SW,1,Low,Yes
RIMMA0630.1.SW,1,Low,Yes
RIMMA0657.1.SW,1,Low,Yes
RIMMA0664.1.SW,1,Low,Yes
RIMMA0687.1.SW,1,Low,Yes
RIMMA0696.1.SW,1,Low,Yes
SEEDGWAS1097.RN,1,Low,Yes
