Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Mean
12S009901.SW,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0130194191156719
12S010201.SW,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.012952266056127
12S010401.SW,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0151160153161321
12S011001.SW,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0123237397431235
12S011401.SW,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.00605,-107.3167,1728,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.014071342985953
12S011601.SW,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.00605,-107.3167,1728,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0139147339224399
12S011701.SW,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.00605,-107.3167,1728,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0126687958370982
12S012401.SW,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.00605,-107.3167,1728,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.010537231326075
12S012501.SW,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.00605,-107.3167,1728,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0117109242499848
12S012601.SW,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0156707587044441
12S012801.SW,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0142708696706077
12S012901.SW,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0140476904073347
12S013001.SW,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0651353435010944
12S013401.SW,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0121228204102406
12S013801.SW,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0114969840377467
12S013901.SW,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0594297522639626
12S014001.SW,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.0339736012532557
12S014101.SW,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0537807773142258
12S014301.SW,Swarts_etal_2017,PI_218135:Picuris_not_San_Lorenzo,US - Puebloan (East),Landrace,Unknown,Unknown,36.129,-105.4242,2232,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0118458706480765
12S014701.SW,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0131597384763489
12S014801.SW,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.013435932067333
12S015401.SW,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0130090212946405
12S015501.SW,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0132852890142933
12S016001.SW,Swarts_etal_2017,PI_218136:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.0351971103062092
12S016201.SW,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0710333717143298
12S016301.SW,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.01471745923726
12S016601.SW,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0590831299824728
12S017001.SW,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0599909423057339
12S017301.SW,Swarts_etal_2017,PI_218149:Taos,US - Puebloan (East),Landrace,Unknown,Unknown,36.45,-105.55,2134,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0610873427542082
12S017601.SW,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0132230352681147
12S018001.SW,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0135558167755899
12S018201.SW,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0749530007261869
12S018401.SW,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0155550618525786
12S018701.SW,Swarts_etal_2017,PI_218154:San_Felipe,US - Puebloan (East),Landrace,Unknown,Unknown,35.2537,-106.2637,1564,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0133993828339256
12S019401.SW,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0117622676991794
12S019601.SW,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0126391988376677
12S019801.SW,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA,Ab10,Ab10-I,NA,No,Neither,0.0123441126951363
12S020001.SW,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0133383539548954
12S020401.SW,Swarts_etal_2017,PI_218156:Santo_Domingo,US - Puebloan (East),Landrace,Unknown,Unknown,35.3052,-106.2148,1581,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0118222493258106
12S020601.SW,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0127181332210754
12S020801.SW,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0108386219212822
12S020901.SW,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0121244164737076
12S021301.SW,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0106964979000785
12S022001.SW,Swarts_etal_2017,PI_218157:Santa_Clara,US - Puebloan (East),Landrace,Unknown,Unknown,35.5816,-106.0521,1709,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0107594594588964
12S022301.SW,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0114918670528796
12S022401.SW,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0118305431200743
12S022501.SW,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0123430970631455
12S022701.SW,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0128022594432312
12S023401.SW,Swarts_etal_2017,PI_218159:Zia,US - Puebloan (East),Landrace,Unknown,Unknown,35.3013,-106.4324,1668,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0126760019460704
12S024301.SW,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,NA,NA,1829,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0105819049912118
12S024401.SW,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,NA,NA,1829,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.012063837582883
12S024601.SW,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,NA,NA,1829,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0135603040845168
12S024801.SW,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,NA,NA,1829,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0118624506144364
12S024901.SW,Swarts_etal_2017,PI_218160:Navajo,US - Athabaskan,Landrace,Unknown,Unknown,NA,NA,1829,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0104590782467675
12S025401.SW,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,Ab10,Ambiguous,NA,Yes,Low,0.0423041097471793
12S025501.SW,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.011567451890431
12S025601.SW,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0112149982991775
12S025701.SW,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0596585315176204
12S025901.SW,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0111679718715548
12S026301.SW,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0119429451078761
12S026401.SW,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.136655633613045
12S026701.SW,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,Ab10,Ab10-I,NA,Yes,Low,0.0414984750092238
12S027001.SW,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0619615868390294
12S027201.SW,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,Ab10,Ambiguous,NA,Yes,High,0.0845955769172288
12S027901.SW,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.0375702800928654
12S028501.SW,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.0356414367127328
12S028601.SW,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0107532237289253
12S028801.SW,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0110164051748769
12S029001.SW,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0121814199871267
12S029101.SW,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.11174,-111.2207,1456,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0888699446536053
12S029201.SW,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.11174,-111.2207,1456,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.0327147514586305
12S029501.SW,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.11174,-111.2207,1456,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0117583047786959
12S029701.SW,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.11174,-111.2207,1456,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.011925819952561
12S029801.SW,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.11174,-111.2207,1456,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.085510403340695
12S030601.SW,Swarts_etal_2017,PI_218181:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0123979018566923
12S030701.SW,Swarts_etal_2017,PI_218181:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0104968641145388
12S031101.SW,Swarts_etal_2017,PI_218181:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0146020730504825
12S031501.SW,Swarts_etal_2017,PI_218181:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0118894507579787
12S032001.SW,Swarts_etal_2017,PI_218181:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0138611376631036
12S032101.SW,Swarts_etal_2017,PI_218187:Mojave,US - Lower CO River,Landrace,Unknown,Unknown,NA,NA,945,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.013519545913737
