Name,Mean,Copy,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,CDH
SEEDGWAS3965.RN,0.0449596969763474,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-009987,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS3966.RN,0.0325788890135453,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-010513,NA,Landrace,Unknown,Unknown,22.43833,-97.998902,12,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4007.RN,0.0295541060304596,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-018080,NA,Landrace,Unknown,Unknown,22.513281,-104.499597,570,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4037.RN,0.024971567716056,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000038,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4041.RN,0.0221172217509492,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000159,NA,Landrace,Unknown,Unknown,19.635915,-102.500515,1306,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4043.RN,0.0484526486866093,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000343,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4048.RN,0.0455690991733313,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000632,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4050.RN,0.025308021097393,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-001146,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4159.RN,0.026430445431041,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015633,NA,Landrace,Unknown,Unknown,22.333956,-100.265107,1111,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS417.RN,0.0465429053959845,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-022709,NA,Landrace,Unknown,Unknown,7.591812,-71.870714,583,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
